title,link,date,excerpt,category,source_url
,https://indiegamereviewer.com/,,Invalid Request...,normal,https://indiegamereviewer.com/
Building Relationships Is The Weirdest Dating Sim I've Ever Played,https://www.thegamer.com/building-relationships-is-the-weirdest-dating-sim-ive-ever-played/,,The most fun a house can have without taking its clothes off.,normal,https://www.thegamer.com/tag/indie-games/
"I’m Obsessed With Bug Hunter, UFO 50’s Retro Take On Into The Breach",https://www.thegamer.com/bug-hunter-ufo-50-retro-tactics-into-the-breach/,,"UFO 50 is full of great games, but Bug Hunter is my favorite.",normal,https://www.thegamer.com/tag/indie-games/
The Indie Informer Plays Urban Myth Dissolution Center,https://the-indie-in-former.com/2025/02/14/the-indie-informer-plays-urban-myth-dissolution-center/,,,normal,https://the-indie-in-former.com/
On The Radar: Demo Edition,https://the-indie-in-former.com/2025/02/12/on-the-radar-demo-edition/,"February 12, 2025",Jump in.,normal,https://the-indie-in-former.com/
2025 Indie Video Game Release Schedule,https://the-indie-in-former.com/2025/02/10/2025-indie-video-game-release-schedule/,"February 10, 2025",The year’s anticipated launches.,normal,https://the-indie-in-former.com/
Ruffy And The Riverside Preview: Swap Meet,https://the-indie-in-former.com/2025/02/10/ruffy-and-the-riverside-preview-copy-and-paste/,"February 10, 2025",Cut out of a notebook.,normal,https://the-indie-in-former.com/
The Indie Informer Plays Spirit Swap,https://the-indie-in-former.com/2025/02/07/the-indie-informer-plays-spirit-swap/,"February 7, 2025",Welcome to Friday.,normal,https://the-indie-in-former.com/
The Indie Council: Contending With Copycats,https://the-indie-in-former.com/2025/02/06/the-indie-council-contending-with-copycats/,"February 6, 2025",There’s so much to play.,normal,https://the-indie-in-former.com/
Whitethorn Winter Showcase 2025 Round-Up,https://the-indie-in-former.com/2025/02/06/whitethorn-digital-winter-showcase-2025-round-up/,"February 6, 2025",The indie publisher reveals a smattering of updates for its portfolio.,normal,https://the-indie-in-former.com/
Keep Driving Review: Get Your Kicks,https://the-indie-in-former.com/2025/02/05/keep-driving-review-get-your-kicks/,"February 5, 2025",It’s hard to take your foot off the gas.,normal,https://the-indie-in-former.com/
Spirit Swap Impressions: Relaxing Stimulation,https://the-indie-in-former.com/2025/02/03/spirit-swap-impressions-relaxing-stimulation/,"February 3, 2025",Match-3 and chill with this relaxing puzzler.,normal,https://the-indie-in-former.com/
The Indie Informer Plays Citizen Sleeper 2,https://the-indie-in-former.com/2025/01/31/the-indie-informer-plays-citizen-sleeper-2/,"January 31, 2025",Startled awake.,normal,https://the-indie-in-former.com/
Citizen Sleeper 2: Starward Vector Review – Did 2025’s GOTY Launch In January?,https://the-indie-in-former.com/2025/01/30/citizen-sleeper-2-starward-vector-review-did-2025s-goty-launch-in-january/,"January 30, 2025",You need to be playing.,normal,https://the-indie-in-former.com/
The Stone Of Madness Impressions: Plaguing My Mind,https://the-indie-in-former.com/2025/01/28/the-stone-of-madness-impressions-plaguing-my-mind/,"January 28, 2025",Life imitates art.,normal,https://the-indie-in-former.com/
Eternal Strands Impressions: Weave Been Having A Great Time,https://the-indie-in-former.com/2025/01/27/eternal-strands-impressions-weave-been-having-a-great-time/,"January 27, 2025",Destroying Drakes like my name is Kendrick Lamar.,normal,https://the-indie-in-former.com/
Tails Of Iron 2: Whiskers Of Winter Review – Noble Struggle,https://the-indie-in-former.com/2025/01/27/tails-of-iron-2-whiskers-of-winter-review-noble-struggle/,"January 27, 2025",An uphill battle.,normal,https://the-indie-in-former.com/
The Indie Informer Plays Ender Magnolia: Bloom In The Mist,https://the-indie-in-former.com/2025/01/24/the-indie-informer-plays-ender-magnolia-bloom-in-the-mist/,"January 24, 2025",We don’t have to kill.,normal,https://the-indie-in-former.com/
Wanderstop Preview: Stop And Pet The Pluffins,https://the-indie-in-former.com/2025/01/24/wanderstop-preview-stop-and-pet-the-pluffins/,"January 24, 2025",Begin brewing,normal,https://the-indie-in-former.com/
10 Social Media Marketing Tips for Indie Game Developers,https://enjin.io/authors/enjin,,,marketing,https://enjin.io/blog/10-social-media-marketing-tips-for-indie-game-developers
10 Social Media Tips for Indie Game Devs,https://enjin.io/blog,,,marketing,https://enjin.io/blog/10-social-media-marketing-tips-for-indie-game-developers
Buyers Guide for Customer Service Chatbots in 2025,https://www.helpshift.com/blog/customer-service-chatbot-2/,,read,marketing,https://www.helpshift.com/blog/the-only-guide-you-need-for-effective-indie-game-marketing/
Buyers Guide for Customer Service Chatbots in 2025,https://www.helpshift.com/blog/customer-service-chatbot-2/,,read,marketing,https://www.helpshift.com/blog/the-only-guide-you-need-for-effective-indie-game-marketing/
Top 15 B2B Customer Service Examples [that worked],https://www.helpshift.com/blog/b2b-customer-service-examples/,,read,marketing,https://www.helpshift.com/blog/the-only-guide-you-need-for-effective-indie-game-marketing/
Conversational AI for Customer Service: A Complete Guide,https://www.helpshift.com/blog/conversational-ai-for-customer-service/,,read,marketing,https://www.helpshift.com/blog/the-only-guide-you-need-for-effective-indie-game-marketing/
Video Game Marketing Blog from Conduit,https://www.conduit.gg/blog/posts/best-channels-for-marketing-an-indie-game,,"NOVEMBER 7, 2024 Best Channels for Marketing an Indie Game Marketing an indie game is a crucial aspect of the game development process, often determining the game's success or failure in a highly competitive market. This article delves into the various channels available for promoting indie games, g...",marketing,https://www.conduit.gg/blog/posts/best-channels-for-marketing-an-indie-game
Developer Marketing,https://www.developermarketing.io/tag/developer-marketing/,22 JUNE 2023,"For indie game developers, creating an exceptional game is only half the battle. Making noise about your new release in an already crowded market can prove to be both a major and disheartening challenge.",marketing,https://www.developermarketing.io/the-ultimate-marketing-guide-for-indie-game-developers/
"AI-powered product marketing: Trends, tips, and use cases",https://www.developermarketing.io/ai-powered-pmm-trends-tips-and-use-cases/,,Smarter workflows and better product marketing with AI....,marketing,https://www.developermarketing.io/the-ultimate-marketing-guide-for-indie-game-developers/
Bot or not: Lessons on consumer reactions to algorithm vs. human decisions,https://www.developermarketing.io/bot-or-not-lessons-on-consumer-reactions-to-algorithm-vs-human-decisions/,,How do consumers feel about decisions made by robots (bots) versus humans?...,marketing,https://www.developermarketing.io/the-ultimate-marketing-guide-for-indie-game-developers/
How product marketers can truly connect with engineering leaders,https://www.developermarketing.io/how-product-marketers-can-truly-connect-with-engineering-leaders/,,"If you think marketing to engineering leaders is just like marketing to developers, keep on reading....",marketing,https://www.developermarketing.io/the-ultimate-marketing-guide-for-indie-game-developers/
