title,link,paragraphs
The Indie Council: Answering Dev’s Questions,,"On this week’s podcast, The Indie Council presses on with a missing member, but they are not forgotten! The Js are here to bring Mike’s last request for the episode to life after breaking down our initial reactions to an unexpected indie cancelation. Then we are here to answer questions straight from a small team about getting their game in front of people. This show is made possible by The Indie Informer’s generous supporters who joined the site’s Patreon to ensure the team’s ability to bring the community video content. We couldn’t be more grateful for their help and, from our hearts, thank you all. Thank You To Our Patrons: Zachary Pligge Colin Daraio Bunty Henry Stockdale Jawarhello Dave Yannetty The AvrgGamr Chris M Shazirah Roger Reichardt Dr Mono"
The Indie Informer Plays Tyrant’s Realm,,"Welcome to Friday and the birth of Medieval Valley girl Batman. You read that correctly. So, you should be prepared for a fun time in 2025’s first episode of The Indie Informer Plays in which I dominate Tyrant’s Realm. This show is made possible by The Indie Informer’s generous supporters who joined the site’s Patreon to ensure the team’s ability to bring the community video content. We couldn’t be more grateful for their help and, from our hearts, thank you all. Thank You To Our Patrons: Zachary Pligge Colin Daraio Bunty Henry Stockdale Jawarhello Dave Yannetty The AvrgGamr Chris M Shazirah Roger Reichardt Dr Mono"
2025 Indie Video Game Release Schedule,,"Just when you think you’ve seen the best year of indie releases, new titles take up the challenge. To keep you from missing any, we’ve rounded up a list of anticipated indie (and sometimes indie-adjacent) titles set to release in 2025. This schedule is always growing, so if you know of a project coming out this year, reach out!"
Drop Duchy Preview: A Good Fit,,"Developer Sleepy Mill Studio • Publisher The Arcade Crew • Release April • Platforms PC Tetris is the closest thing possible to a perfect video game. Its design is sublime, to the point that gimmicky iterations are hit or miss for me. Drop Duchy is one of the more inventive and enjoyable spins on Tetris as it combines it with Carcassonne-esque medieval terrain-building. Tack on roguelike progression with a splash of deckbuilding, and Drop Duchy is an eyebrow-raising hybrid with intriguing hooks. Despite looking and playing like Tetris, Drop Duchy is really about building a realm. That entails gathering and managing resources while amassing military might to crush enemy armies. The Tetris template acts as a familiar vehicle for delivering this premise. Players drop and connect Tetrinomo-shaped terrain tiles such as forests, plains, and rivers. Creating lines rewards resources from the scored tiles, like lumber and wheat. However, the catch is that completed lines don’t vanish. Drop Duchy is about constructing a world, after all. Simply plopping down shapes to create neatly arranged forests and fields is enjoyable, but Drop Duchy’s strategy shines in how you do this. Connecting shapes doesn’t solely guarantee success. That’s because there are building titles such as windmills, farms, and lumbermills that harvest specific adjacent resources. Lumbermills, for example, turn trees into lumber, so dropping it smack dab in the middle of a bunch of forest tiles is ideal. Other structures completely transform the surrounding terrain. Farms turn rolling plains into plowed yellow fields, for example. However, this can backfire if another building tile nearby generates resources from the plains you just terraformed. On the flip side, this also creates opportunities to create combos by arranging tiles to work together harmoniously. Drop Duchy is a thoughtful exercise of placing structures to generate the most resources while ensuring they don’t step on each other’s toes. This sometimes means focusing on stacking blocks with matching terrains rather than completing horizontal rows. And since tiles arrive in a randomized order like Tetris, there’s a fun strategy in keeping rows as coherent as possible while still leaving room to develop different biomes. Similarly to building tiles, military tiles generate fighting power when surrounded by certain terrain types. Military tiles take the form of sword fighters, axe-wielders, and archers, and each has an advantage over the other rock-paper-scissor style. Combat levels add enemy tiles into your pool, meaning you must place an opposing tile on your board in a manner that is as disadvantageous to its success as possible. Do you have an enemy swordfighter title that gains strength when surrounded by plains? Surround that sucker with forest titles to keep its power at bay. Sabotage like this may not always be an option, however; depending on how the board is arranged and when an opposing tile surfaces in the pool. I run into plenty of instances when I have no choice but to place an enemy in a spot where it reaps the full benefit of my world, and it never stops making me question how effectively I’m laying out my realm. Completing a round offers one of three randomized rewards. In addition to gaining new tiles, the game offers passive perks such as gaining more resources from certain tiles. Regardless of what’s chosen, it all gets added to an overall pool of terrain tiles and buildings, which takes the form of a card deck. This is where the deckbuilding component comes in, as there’s a limit on the number of building titles that can be played in a deck. However, spending gold earned through missions unlocks additional tile slots. Levels feature shifting terrain ratios (such as having more forests than rivers, encouraging regular deck adjustment to suit them). Runs unfold in a typical roguelike fashion, with players progressing through a forked route of levels to reach a final battle at the end. Along the way the game asks you to choose between playing a hostile stage, meaning enemies are present, or a peaceful stage that centers solely on resource gathering. However, forgoing combat for the scenic route has the downside of strengthening the final boss. Losing a combat encounter chips away at an overall health meter, so failing a single stage doesn’t mean the entire run is a wash. That’s good because I’m still losing battles more often than winning them. Drop Duchy is a tricky game to master as it combines two types of tile-building strategies, but one I’m having a good time mastering. The game’s ideas fit together as neatly as its tiles, and I’m always down for a new Tetris-like to melt my free time. You can check out the game now thanks to its newly released demo, and I’m curious to see how the full game fares when it arrives sometime this April."
The Indie Council: 2025 Indie Bingo,,"Welcome back to a bright new year of indies! In this first episode of 2025, we get the train going off the rails. The Council weighs in on Award nominees and game news to kick things off. Then we plummet into an unhinged list of 2025 predictions for a nigh-unwinnable game of bingo. This show is made possible by The Indie Informer’s generous supporters who joined the site’s Patreon to ensure the team’s ability to bring the community video content. We couldn’t be more grateful for their help and, from our hearts, thank you all. Thank You To Our Patrons: Zachary Pligge Colin Daraio Bunty Henry Stockdale Jawarhello Dave Yannetty The AvrgGamr Chris M Shazirah Roger Reichardt Dr Mono"
LOK Digital Impressions: Fictional Fluency,,"Developer Letibus Design, Icedrop Games • Publisher Draknek and Friends • Release December 11, 2024 • Played On PC Today, I spent a few hours learning a new language. No one speaks it, I don’t know what any of the words mean, and I don’t think I’ll find many practical uses for it, but it’s been an incredibly satisfying way to start my year. Lok Digital is a game built around a made-up language, and if you like word games, it should definitely be on your radar. The first word you learn is in the title: LOK. To play the game, all you have to do is look at the crossword-like grid and select adjacent letters to spell the words you know, which fills their boxes in. Your ultimate goal is to fill the entire board, so it’s convenient that each word allows you to clear some extra spaces. “LOK” allows you to fill one additional box, while “TLAK” lets you fill two adjacent spaces. Like many puzzle games, it’s easier to grasp once you get your hands on it, and LOK Digital does a stellar job at easing you into it. The best puzzle games are good teachers. It’s one thing to introduce a set of interesting challenges to a player, but it’s another thing entirely to do it in a way that’s neither boring nor overwhelming. Lok Digital doesn’t just strike this balance, it does it consistently every time you reach a new world and learn a new word or mechanic. The start of world six tells the player, “There is a rule that wasn’t obvious before. Look at the hint if needed.” It’s just enough of a push to lead me in the right direction and offers more help if I want. Either way, I’m satisfied when I figure out the solution because I could still work it out on my own. LOK Digital has wonderful quality-of-life features as well. I only know 4 words at my current spot in the game, but there’s a quick drop-down menu to remind me of them if I ever forget. Hints are readily available and don’t cause any penalties to use, so if you find yourself getting stuck, it’s nice to have a risk-free tool to find a solution. And if you’re getting annoyed at a current level, it only takes a few from each world to unlock the next area, so you can probably come back to tricky stages later. This is especially true with the last levels on each world, which are starred for their difficulty and singled out as easy to skip. Complete with a simple, cute black-and-white aesthetic and a relaxing, floaty synth soundtrack, LOK Digital is a delight so far. I look forward to playing through the remainder of its worlds on a lazy morning with a cup of coffee."
Revenge Of The Savage Planet Preview: Savage Is Right,,"Developer Raccoon Logic Studios • Publisher Raccoon Logic Studios • Release May • Platforms PS, Xbox, PC Imagine, if you will, a camp site. Picnic tables lining the perimeter hold everything from light fare to gaming setups. And in the back, a cheery looking vintage camper. This is my introduction to Revenge of the Savage Planet, and it seems to offer a wholesome time. But it’s all a lie. Seated inside the camper, cozily nestled with gameplay stations, my guide to new and far flung worlds smiles with satisfaction as horror dawns on my face. The reality I discover — the one undeniable truth of this game — is anytime there’s a cute creature on screen, I become the architect of its usually horrific destruction. The worst part? It’s really fun. But I’m getting ahead of myself. My initial hands-on time with the game confirms a few things. One, it’s as beautiful in motion as in still shots, with cartoony character models striding over rich, alien environments. Next, I feel a sense of appreciation for the humor baked into the world’s DNA. My lanky explorer runs with all the grace of a newborn giraffe. The “scientific” descriptions resulting from my scans are often silly — like when my readout basically just said, “Yep. That’s a tree.” Thanks, that’s very helpful. And the tongue-in-cheek corporate greed parody inherent in my mission objectives hits the right notes. Mostly, as my playtime runs on, I can’t help being impressed by the game’s skillful juggling of an extensive combo of genres. The creators described their project as a “wide-angle Metroidvania,” which hints at its open, 3D landscape and gameplay flow. However, tucked into the jungles, deserts, fields, mountains, and everything in between, are elements of decoration sim, survival crafting, creature capture, puzzle-solving, cross-play co-op, and narrative adventure. Though I’d crash landed on this brave new world, I was consistently gaining new tools to overcome its obstacles. One of the first was a very helpful double jump pack. Or, at least, it would be helpful if I was a normal person. One of the developers passing by laughingly teased my playstyle saying, “Oh, you’re a Skyrim player,” referencing my insistence on going over a mountain rather than around it on the nice, laid-out path. Even my vertically enhanced skills couldn’t get me around a giant toad-like monster, however. I knew there’d be a trick to that, so I set about scanning the landscape. This led me to find a handful of cute little creatures I just wanted to give a big hug. I was elated to find out I could pick them up to do just that. Until it dawned on me why I could hold them. A prompt to throw them appeared on the screen and the pieces came together like a slap in the face. I had to launch them into the hungry, gaping mouth of the monster blocking my path in order to make it move. My guide didn’t try to suppress his laughter as I shamefacedly sacrificed the unsuspecting critters. This earned me access to a long-abandoned base, whose population sign generously ticked up from zero to one as I entered. Everyone else who had once lived here was either dead or fled long ago. The mystery of their disappearance would have to wait, though, as the base opened up my ability to buy furniture to decorate my new space. I took longer doing this than I care to admit. Before long, I was off on new missions. One, which unfolds much later in the game (I had to access this through a new save file) took me above a poisoned swamp and into an impossibly tall canopy. I now had a gun with ammunition including water spray, lava flow, and electric shock. I used many of these to reach the top of a gnarled tree. The water, for instance, opened up large flower buds which let me jump up my path. The lava and electricity took care of any would-be enemies. The treasure at the summit was a whip with several purposes. It’s good in combat and acts as a kind of grappling hook for exploration. Of course, it also works as a Metroidvania-like key to unlock new areas. My hands-on time came to a close on a cliffhanger. Using another save file, I found myself in a system of caves which required me to use electricity in its environmental puzzles to venture farther in. In one of the deepest caverns, I discovered a scattering of cryo pods. Why were they in the back of a cave and who put them there? Satisfying my curiosity would have to wait. Revenge of the Savage Planet is currently set to launch in May this year, and hopefully, that’s when I’ll find my answers."
"On The Radar: Locator, Airborne Empire, And Monster Meals",,"BY Is your indie slate wiped clean for the new year and just begging for some new titles to fill it up again? Get ready for a trio of games that will take you through clear blue skies, unknown worlds, and behind a bustling food truck counter. I went into Locator thinking it would be a breezy way to spend some time. This was a mistake. The public demo now up on Steam, kicks of with a mystery. What happened to archeologist Abigail Lidari? Others before me have tried and failed to uncover a trace of her and all I have is a series of photos, journal entries, and a map. I’ll have to take these and, somewhat like Return of the Obra Dinn, piece together the information I can glean from these sources to track the missing subject by marking her known locations on my map. It’s not a task for the casual geo-guesser. Only recently released in Steam Early Access, Airborne Empire had my head in the clouds. Of course, the first thing I did — after learning of our lofty ambitions to rebuild the floating metropolises of an empire gone by and take on the dreaded air pirates — was to repaint, for which I actually got an achievement. My singular city center, complete with a lone, horizontal propeller keeping me afloat, required a new hangar. Fans of the city building genre will recognize immediately the flow of things, including building a pathway to enable construction. Unlike other games in the genre, players will need to keep a close eye on gravity, as my newly built hangar caused the whole city to lean precariously. This last entry is on the precipice of its January 17 launch date. So, here’s what you can look forward to this Friday: pixelated pressure. Much like other cooking-inspired games, the object of the gameplay is to make as many meals for as many customers as possible from your food truck. The clock is ticking. And that’s not too helpful when you have to kill and cook your own gourmet offerings. If you feed enough of your bizarre clientele with delicacies that include scorpions and lizards, you’ll pass the level. Money in hand, you can than head back to your hub to spend coin on upgrading your enterprise, customizing your look, or redoing your truck’s paint job before driving out to the next wave of intergalactic restaurant-goers."
Community Spotlight: Barty’s Adventure Steam Page Up Today,,"One of The Indie Informer’s very own community members is looking to bring indie fans a cozy, looping metroidvania. Sebastian Asaro, founder of Mad Sam Game Studio, pitched the title, irresistibly, as an attempt to “modernize the Majora’s Mask formula while still keeping with some of the heavier themes.” With visuals of a child’s playroom staring at me, the contrast between playful aesthetics and dark undertones was notable. Barty’s Adventure now has its own Steam page, though the release is currently set for next year. Hopefully, that’s enough time to help you prep for a three-day cycle of platforming, relationship-building, and boss battles. “I taught myself coding and pixel art over the past five years,” explained Asaro while expanding on his experience developing Barty’s Adventure so far, “making the game in the early hours of most mornings while balancing two new kids and a day job over that time.” It turns out, the title’s central conceit — preparing for the arrival of a new child and overcoming all the anxieties and hurdles that come with that — hits close to the creator’s own life. “Because of this new journey into fatherhood,” he said, “I’ve centered the entire world of the game around this new experience. The children’s toys in the game are all based on my own daughters’ stuffed animals and dolls, and the challenges faced in the game reflect some of those themes of being a new parent — living the same days over and over, fighting to maintain your identity, etc.” And while the game offers to soften “some of [the genre’s] rough edges” with things like resources to help you from losing progress in a new loop and huggable costumes for the already huggable protagonist, the developer still promises plenty of “secrets, stories, and surprises to discover” in Barty’s Adventure."
New Hyper Light Breaker Trailer Drops Ahead Of Tomorrow’s Early Access Launch,,"Hyper Light Breaker, the 3D co-op action game and spiritual follow-up to Hyper Light Drifter, invites players to its world via Steam Early Access tomorrow. Developer Heart Machine is ushering in the launch with a new trailer and the reveal of a limited-time bundle. This special bundle gives players the entire Hyper Light saga by packing together Steam codes for Breakers and Drifter for 10% of its $29.99 retail price. This deal is only available during the first week of Breakers’ launch, starting January 14 and ending January 28. While not a direct sequel to Hyper Light Drifter, Hyper Light Breaker unfolds decades earlier in the same universe, now fully realized in 3D. Players control one of three available Breakers – Lapis, Vermillion, and Goro – to explore and battle foes in the procedurally generated worlds of the Overgrowth. The third-person combat blends high-speed hack-and-slash action with ranged offense via gadgets. Hyper Light Breaker can be experienced alone or with up to two other players in online co-op. We enjoyed the game quite a bit when we played it last summer, and you can read those impressions here. Hyper Light Breaker launches in Steam Early Access on January 14. Heart Machine promises to add new bells and whistles to the game throughout its Early Access lifecycle and plans to reveal its content roadmap in the coming weeks. This includes new Breakers, story content, gear, secrets, and more. As of now, Heart Machine expects Hyper Light Breaker to remain in Early Access for one year, but that could easily change depending on player feedback. This article is made possible by The Indie Informer’s generous Friend supporters who joined the site’s Patreon to ensure the team’s ability to bring the community more content. We couldn’t be more grateful for their help and, from our hearts, thank you all. Thank You To Our Patrons: Zachary Pligge Jawarhello"
